LOCATION,NAME
6266,Sadobre (Vipiteno)
6267,Autostrada del Brennero - Autoparco Sadobre
6268,Kast
6269,Campogalliano
6270,Autostrada del Brennero -  Campogalliano
6271,Kast
6273,Autostrada del Brennero - Interporto Trento
6274,Kast
6275,_Stock NP
6276,Seijsener
6277,Box 153143
6278,Bologna
6279,Interporto Bologna
6280,Kast
6281,[stopped] Colleferro
6282,Truckvillage Colleferro
6283,Kast
6284,Ypenburg - Vuursteen
6285,Roosendaal
6286,Borchwerf
6287,Kast
6288,Rogat
6289,De Raket
6290,Kast
6291,Rotterdam
6292,Distripark Eemhaven
6293,Kast
6294,Korendijk (Piershil)
6295,Gemeente Korendijk
6296,Truckparking
6297,Zevenbergschen Hoek
6298,De Gouden Leeuw
6299,Kast
6300,Schwechat Wien Energie
6301,Schwechat Wien Energie
6302,Kast
6304,Office
6305,Iskra Box
6306,URU_1
6307,URU_2
6308,Ecotap zuil URU+
6309,LMS ombouw
6310,Bergen Op Zoom
6311,Lineage Logistics BoZ (private parking)
6312,Kast
6313,Emmen
6314,Truck Centrum Emmen
6315,Truck facility centrum
6316,Waalwijk
6317,TruckSafe Waalwijk
6318,Kast
6319,Burgo Ranero (Léon)
6320,Castillo El Burgo Ranero
6321,Kast
6322,Padrosa (Llers)
6323,Parking Padrosa Exit 3 AP7
6324,Kast
6325,La Jonquera (Barcelona)
6326,Red Tortuga - La Jonquera
6327,Kast
6328,Cherwell (Ardley)
6329,Moto Cherwell Valley
6330,Kast
6331,Doncaster
6332,Moto Doncaster North
6333,Kast
6334,Donington (Derby)
6335,Moto Donington Park
6336,Kast
6337,Lymm
6338,Lymm Lorry Park
6339,Kast
6340,Thurrock (Grays)
6341,Moto Thurrock
6342,Kast
6343,Toddington
6344,Moto Toddington North Bound
6345,Kast
6346,Moto Toddington South Bound
6347,Kast
6348,Hoorn
6349,Kast
6350,Alphen aan den Rijn - Baronie 30
6351,Laundr - Woonforte
6352,Hoorn Charter verblijf
6353,Hoorn Riviercruise verblijf
6358,URU 1233 Bart
6359,Zuil 1232 Stroom
6360,Breda
6361,Moerwijk
6362,Kast 71200
6363,Kast 71206
6364,Kast 71212
6365,Kast 71218
6366,Noordwijkerhout
6367,Brink
6368,Kast 71224
6369,[stopped] Marchjepôle
6370,Hûske 1
6371,URU 80813
6372,Vrij om te testen
6373,Waterfront K10 / K11
6374,[stopped] Noarder Alde Wei
6375,Hûske 2
6376,URU 1088
6377,Amsterdam - Het Kwartier (3)
